domain,count
gutierrez-rubi.es,26
m.facebook.com,71
my.arizona.vote,1
270towin.com,62
sanjosespotlight.com,6
smcacre.gov,9
boe.cuyahogacounty.gov,102
archivos.juridicas.unam.mx,91
resultados.eleccioneseuropeas2024.es,9
detroitmi.gov,67
aclu-co.org,5
georgia.gov,135
bouldercounty.gov,3
evergreenusd.org,25
nilc.org,74
lavoz.com.ar,5
duvalelections.gov,8
revistaelestornudo.com,83
sbcounty.gov,1
biobiochile.cl,2
mesaaz.gov,2
rnn.com.do,7
elections.saccounty.net,1
12news.com,79
fastcompany.mx,77
eeoc.gov,25
yumacountyaz.gov,3
democracynow.org,18
es.lsnc.net,2
santacruzcountyaz.gov,3
rovservices.sccgov.org,2
boldpac.com,19
capriverside.org,1
riversideunified.org,1
elections.saccounty.gov,1
commoncause.org,128
tucson.com,1
counsel.nysed.gov,48
espanol.reviewjournal.com,11
voteokaloosa.gov,32
rdrnews.com,3
chicaspoderosas.org,5
congreso.es,2
siceen.ine.mx:3000,17
telemundoarizona.com,2
en.wiktionary.org,8
psoe.es,7
excelsior.com.mx,11
milenio.com,35
alamedacountyca.gov,1
dgair.sep.gob.mx,11
elnacional.com,3
oneill.law.georgetown.edu,2
pima.gov,1
telemundo33.com,1
azsos.gov,2
sfelections.org,1
educacion.gob.ec,10
merepresenta.info,17
azpoder.org,4
voteseminole.gov,101
voterguide.sfelections.org,1
telemundodallas.com,52
plataformahistorico.jne.gob.pe,6
yakimacounty.us,85
siged.sep.gob.mx,5
ivpressonline.com,19
sii.cl,7
multco.us,6
connect.burienwa.gov,8
lwvtx.clubexpress.com,183
congresosanluis.gob.mx,5
news.cctexas.com,1
co.ector.tx.us,182
webservices.sos.state.tx.us,270
marca.com,3
efe.com,5
elsoldemorelia.com.mx,14
clacaidigital.info,10
elperiodico.com,105
surkuna.org,7
music.amazon.in,32
aceprensa.com,9
publico.es,12
laboratoriodeperiodismo.org,13
krdo.com,6
sos.texas.gov,172
texastribune.org,124
revistas.unc.edu.ar,5
newtral.es,6
stephenvilletx.gov,143
weatherfordtx.gov,140
chile.as.com,13
kvia.com,2
paychex.com,179
ineedana.com,4
hcnl.gob.mx,47
collincountytx.gov,128
brazoriacountyclerktx.gov,86
ciperchile.cl,3
aclutx.org,111
thv11.com,7
voz.us,1
mega.cl,6
co.frio.tx.us,14
pagina12.com.ar,4
votedenton.gov,61
rfi.fr,37
app.harrisvotes.com,30
scott.senate.gov,3
elections.mctx.org,47
telemundosanantonio.com,15
votebrevard.gov,12
votelubbock.org,6
t13.cl,11
adnradio.cl,1
cctexas.com,3
nuecesco.com,2
eljaya.com,1
ordenjuridico.gob.mx,1
porquienvoto.mx,2
eluniversal.com.mx,1
wilcotx.gov,74
www2.montgomerycountymd.gov,10
kut.org,99
webbcountytx.gov,12
laesquinatx.com,55
washington.org,9
tpr.org,21
voteva.us,10
vademocrats.org,5
perfil.com,2
vpm.org,3
hoy.com.do,2
lasaliberator.com,116
coeltx.net,1
cile.mx,1
info.kingcounty.gov,3
innova-commerce.com,28
manassasva.gov,8
versustexas.com,14
congresocoahuila.gob.mx,8
whyy.org,11
mvic.sos.state.mi.us,31
aapd.com,10
resultados.mininterior.gob.ar,4
states.aarp.org,10
austintexas.gov,13
vote.utah.gov,2
telemundohouston.com,33
pdba.georgetown.edu,1
statesman.com,15
cityoflaredo.com,2
telemundolaredo.tv,2
votetravis.gov,5
sltrib.com,2
cameroncountytx.gov,20
aguacateboutique.com,65
citizens-initiative.europa.eu,8
tarrantdemocrats.org,2
eltiempo.com,26
ubs.com,26
verifythis.com,100
medlineplus.gov,2
help.twitch.tv,5
rancherita.com.mx,1
countyclerk.traviscountytx.gov,2
telemundo40.com,3
unidosporlavida.com,2
ambitojuridico.com,1
eldeber.com.bo,25
texaslottery.com,16
valleycentral.com,27
usatoday.com,83
booking.com,2
ubuy.do,56
factchequeado.com,45
caraveo.house.gov,17
camaradecuentas.gob.do,52
palabranahj.org,55
wndu.com,73
mtpleasantny.com,2
austintexas.org,1
europapress.es,93
eldebate.com,2
laopinion.com,4
transportes.gob.es,1
ecuador-decide.org,1
lmtonline.com,11
usinfo.org,12
co.ellis.tx.us,6
es-us.ups.com,92
inegi.org.mx,3
manassasparkva.gov,1
bis.org.do,2
es.pwcvotes.org,1
newtools.cira.state.tx.us,3
miamibeachfl.gov,121
cms5.revize.com,38
whitehouse.gov,2
theappalachianonline.com,1
sirec.iecm.mx,4
www1.cbn.com,1
cicerolibrary.org,12
webfiles.clarkcountynv.gov,7
cookpolitical.com,10
disabilityrightsnj.org,1
static.univision.com,64
files.floridados.gov,147
nmas.com.mx,93
polkelections.gov,59
bayvotesfl.gov,17
votecitrus.gov,9
lakevotes.gov,4
govotemiami.org,4
hispanicunity.org,9
businessinsider.com,65
okdiario.com,82
elnuevoherald.com,106
larazon.es,37
dhs.leeschools.net,4
dos.fl.gov,41
arcotel.gob.ec,6
ocfelections.gov,26
votehillsborough.gov,34
waterburyct.org,2
orlando.gov,5
nlrb.gov,88
newsweekespanol.com,56
votepalmbeach.gov,12
lee.vote,25
wtop.com,69
chicagotribune.com,9
votealachua.com,5
govote-okaloosa.com,5
votejacksonfl.gov,1
stamfordadvocate.com,13
miamigardens-fl.gov,1
myfloridaelections.com,4
telemundo31.com,11
ulpbc.org,1
votehighlands.com,4
centrotampabay.com,2
amchamcolombia.co,91
ucsp.edu.pe,8
cima.grupocibernos.com,1
anje.org,8
aruba.ubuy.com,3
carolinajournal.com,1
telemundo49.com,5
cityofdoral.com,1
miami.gov,1
mentimeter.com,9
microsoft.com,1
greatneck.k12.ny.us,5
oraculus.mx,1
slido.com,1
pascovotes.gov,5
polkelections.com,8
jud.ct.gov,11
votepinellas.gov,2
nubecont.com,5
articulo14.es,8
council.providenceri.gov,3
boynton-beach.org,1
elosceolastar.com,1
ladiaria.com.uy,1
providenceri.gov,11
jotform.com,12
boston.gov,10
chicago.gov,1
norcrossga.net,14
cippec.org,1
leominster-ma.gov,30
southsideweekly.com,2
bipartisanpolicy.org,26
everettpublicschools.org,2
sos.idaho.gov,3
cityoflawrence.com,26
elections.il.gov,6
montgomerycountymd.gov,7
es.theepochtimes.com,22
resultados.gob.ar,1
wgbh.org,13
northernpublicradio.org,1
rumbonews.com,1
thetaskforce.org,5
lawrencevillega.org,30
sos.ga.gov,1
maps.lakecountyil.gov,6
pr.ebay.com,1
kcur.org,7
clerk.kanecountyil.gov,3
galeo.org,2
sos.nh.gov,9
salemma.gov,20
ciceroindependiente.com,1
dhs.state.il.us,1
wusf.org,5
mvp.sos.ga.gov,5
mchenrydems.org,2
myfloridahouse.gov,1
lowellma.gov,2
voterservices.elections.maryland.gov,3
comunidadescolar.aefcm.gob.mx,3
mx.pinterest.com,1
borderlessmag.org,1
stevenscoks.org,1
finneycounty.org,2
hankjohnson.house.gov,1
cboeprod.blob.core.usgovcloudapi.net,2
lakevotes.com,1
chicagoelections.gov,2
cvidaho.org,1
georgiademocrat.org,1
revere.org,1
dev.vote411.org,5
gwinnettcounty.com,1
gwinnettdemocrats.com,1
nyccfb.info,1
tse.org.gt,1
mapquest.com,2
mivotocuenta.es,1
locations.us.express.dhl.com,1
ktvb.com,1
chelseama.gov,2
ine.es,1
reforma.com,3
es.amnesty.org,2
houstonisd.org,5
fordcounty.net,1
fairdistrictsga.org,1
cityoflilburn.com,1
oig.cepal.org,1
mymcmedia.org,1
eos.cartercenter.org,1
phila.gov,4
nysenate.gov,45
berkspa.gov,13
congreso.net,10
co.lancaster.pa.us,3
pavoterservices.pa.gov,9
ohiosos.gov,1
ag.ny.gov,5
greenbeltnewsreview.com,6
votebymailnj.org,49
co.bergen.nj.us,8
pawtucketri.gov,1
abc.es,18
lehighdemocrats.org,10
lwvlehighcounty.org,2
es.zenit.org,7
mifamiliavota.org,16
sos.nm.gov,2
vote.phila.gov,8
centrecountypa.gov,4
goldengatexpress.org,1
partir-a-new-york.com,5
findmypollsite.vote.nyc,9
nydems.org,5
thearc.org,20
gestion.pe,1
nvsos.gov,3
nyassembly.gov,1
iwillvote.com,1
srpnet.com,1
chqgov.com,4
eitb.eus,2
especiales.elcomercio.pe,1
co.andrews.tx.us,2
berncoclerk.gov,1
lwvny.org,1
uscis.gov,1
lamalafe.lat,1
hudsoncountyclerk.org,2
westchesterlegislators.com,4
millvillenj.gov,1
cumberlandcountyvotes.com,1
acnj.gov,4
anuevayork.com,2
roslynny.gov,2
cdn.gob.pe,1
foodhelpline.org,1
jerseycitynj.gov,2
nebraska.gov,3
uber.com,1
epcountyvotes.com,2
wpri.com,3
iepcdurango.mx,1
bergencountyclerk.gov,6
cpl.org,4
kensingtonvoice.com,1
chesco.org,1
hcmhelpcenter.zendesk.com,1
tapinto.net,1
manhattantimesnews.com,1
dakotacounty.ne.gov,4
patersonnj.gov,2
presentemedia.org,1
monroecounty.gov,1
pollunit.com,2
hotelworkers.org,1
consulado.pe,1
michiganlegalhelp.org,3
nepm.org,2
nebraskademocrats.org,3
lwvnebraska.org,3
votercheck.necvr.ne.gov,3
es.csustan.edu,2
wethepeoplemi.org,1
es.wikibrief.org,3
worcesterma.gov,3
sos.iowa.gov,1
lwvgo.org,1
www3.springfield-ma.gov,1
telemundowi.com,1
wisconsindot.gov,1
veasey.house.gov,1
cymasuite.com,1
telemundo48elpaso.com,1
mcallen.net,1
thehub.dallasisd.org,3
brownsvilletx.gov,4
elsaltodiario.com,2
ieechihuahua.org.mx,1
sanantonioreport.org,1
sanantonio.gov,1
www2.elpasotexas.gov,1
co.jones.tx.us,1
pharr-tx.gov,1
nab.org,2
mcud.com,1
